"","Name","Classification","Taxon ID","Assembly","Accession","Variation database","Regulation database","Whole genome alignments","Other alignments","In peptide compara","In pan-taxonomic compara"
"","Aaosphaeria arxii CBS 175.79","Pleosporales","1450172","Aaoar1","GCA_010015735.1","-","-","-","","-","-"
"","Absidia glauca","Mucoromycotina","4829","AG_v1","GCA_900079185.1","-","-","-","","-","-"
"","Absidia repens str. NRRL 1336","Mucoromycotina","90262","Absrep1","GCA_002105175.1","-","-","-","","","-"
"","Acaromyces ingoldii str. MCA 4198","Fungi","215250","Acain1","GCA_003144295.1","-","-","-","","","-"
"","Acidomyces richmondensis BFW","Acidomyces","766039","Acidomyces_richmondensis_BFW_v1.0","GCA_001592465.1","-","-","-","","","-"
"","Acidomyces sp. 'richmondensis'","Acidomyces","245562","ASM157207v1","GCA_001572075.1","-","-","-","","-","-"
"","Acremonium chrysogenum ATCC 11550","Hypocreales","857340","ASM76926v1","GCA_000769265.1","-","-","-","","","-"
"","Agaricus bisporus var. burnettii JB137-S8","Agaricales","597362","Agabi_varbur_1","GCA_000300555.1","-","-","-","","","-"
"","Agrocybe aegerita","Agaricales","5400","AAE3_genes","GCA_902728275.1","-","-","-","","-","-"
"","Akanthomyces lecanii RCEF 1005","Hypocreales","1081108","LEL_1.0","GCA_001636795.1","-","-","-","","-","-"
"","Akanthomyces lecanii str. UM487","Hypocreales","2714763","ASM165321v1","GCA_001653215.1","-","-","-","","-","-"
"","Allomyces macrogynus ATCC 38327","Blastocladiales","578462","A_macrogynus_V3","GCA_000151295.1","-","-","-","","","-"
"","Alternaria alternata","Pleosporales","5599","ASM415475v1","GCA_004154755.1","-","-","-","","-","-"
"","Alternaria alternata str. SRC1lrK2f","Pleosporales","5599","Altal1","GCA_001642055.1","-","-","-","","","-"
"","Alternaria arborescens","Pleosporales","156630","ASM415483v1","GCA_004154835.1","-","-","-","","-","-"
"","Alternaria arborescens","Pleosporales","156630","ASM415481v1","GCA_004154815.1","-","-","-","","-","-"
"","Alternaria arborescens","Pleosporales","156630","ASM415595v1","GCA_004155955.1","-","-","-","","-","-"
"","Alternaria sp. MG1","Pleosporales","1678846","ASM357452v1","GCA_003574525.1","-","-","-","","-","-"
"","Alternaria tenuissima","Pleosporales","119927","ASM415484v1","GCA_004154845.1","-","-","-","","-","-"
"","Alternaria tenuissima","Pleosporales","119927","ASM415473v1","GCA_004154735.1","-","-","-","","-","-"
"","Alternaria tenuissima","Pleosporales","119927","ASM415474v1","GCA_004154745.1","-","-","-","","-","-"
"","Alternaria tenuissima","Pleosporales","119927","ASM415601v1","GCA_004156015.1","-","-","-","","-","-"
"","Alternaria tenuissima","Pleosporales","119927","ASM415476v1","GCA_004154765.1","-","-","-","","-","-"
"","Alternaria tenuissima","Pleosporales","119927","ASM415603v1","GCA_004156035.1","-","-","-","","-","-"
"","Alternaria tenuissima","Pleosporales","119927","ASM416856v1","GCA_004168565.1","-","-","-","","-","-"
"","Amanita muscaria Koide BX008","Agaricales","946122","Amanita_muscaria_Koide_BX008_v1.0","GCA_000827485.1","-","-","-","","","-"
"","Amanita thiersii Skay4041","Agaricales","703135","Amanita_thiersii_v1.0","GCA_002554575.1","-","-","-","","","-"
"","Amniculicola lignicola CBS 123094","Pleosporales","1392246","Amnli1","GCA_010015725.1","-","-","-","","-","-"
"","Amorphotheca resinae ATCC 22711","Myxotrichaceae","857342","Amore1","GCA_003019875.1","-","-","-","","","-"
"","Ampelomyces quisqualis str. HMLAC05119","Pleosporales","50730","Ampqui1","GCA_010094095.1","-","-","-","","-","-"
"","Amphiamblys sp. WSBS2006","Microsporidia","1866961","ASM187567v1","GCA_001875675.1","-","-","-","","","-"
"","Anaeromyces robustus str. S4","Chytridiomycota","1754192","Anaeromyces_sp._S4_v1.0","GCA_002104895.1","-","-","-","","","-"
"","Anncaliia algerae PRA109","Tubulinosematidae","1240240","Annc_alge_PRA109_V4","GCA_000385855.2","-","-","-","","-","-"
"","Anncaliia algerae PRA339","Tubulinosematidae","1288291","Annc_alge_insect_USDA_JJB_V2","GCA_000385875.2","-","-","-","","","-"
"","Anthracocystis flocculosa","Ustilaginales","84751","Pse_flocc_v1","GCA_900322975.1","-","-","-","","-","-"
"","Anthracocystis flocculosa PF-1","Ustilaginales","1277687","Pflocc_1.0","GCA_000417875.1","-","-","-","","","-"
"","Antrodiella citrinella str. DSM 108506","Polyporales","2447956","ASM480272v1","GCA_004802725.1","-","-","-","","-","-"
"","Apiotrichum porosum str. DSM 27194","Fungi","105984","ASM394220v1","GCA_003942205.1","-","-","-","","-","-"
"","Aplosporella prunicola CBS 121167","Botryosphaeriales","1176127","Aplpr1","GCA_010093885.1","-","-","-","","-","-"
"","Armillaria gallica str. Ar21-2","Agaricales","47427","Armga1","GCA_002307695.1","-","-","-","","","-"
"","Armillaria ostoyae","Agaricales","47428","version_2","GCA_900157425.1","-","-","-","","","-"
"","Armillaria solidipes str. 28-4","Agaricales","1076256","Armost1","GCA_002307675.1","-","-","-","","","-"
"","Arthrobotrys flagrans str. CBS H-5679","Orbiliales","97331","DF_1.0","GCA_004000055.1","-","-","-","","-","-"
"","Arthrobotrys oligospora ATCC 24927","Orbiliales","756982","AOL24927_1.0","GCA_000225545.1","-","-","-","","","-"
"","Arthrobotrys oligospora str. TWF102","Orbiliales","2813651","ASM1106657v1","GCA_011066575.1","-","-","-","","-","-"
"","Arthrobotrys oligospora str. TWF103","Orbiliales","2813651","ASM1106660v1","GCA_011066605.1","-","-","-","","-","-"
"","Arthrobotrys oligospora str. TWF154","Orbiliales","2813651","ASM476876v1","GCA_004768765.1","-","-","-","","-","-"
"","Arthrobotrys oligospora str. TWF191","Orbiliales","2813651","ASM1106692v1","GCA_011066925.1","-","-","-","","-","-"
"","Arthrobotrys oligospora str. TWF217","Orbiliales","2813651","ASM1106673v1","GCA_011066735.1","-","-","-","","-","-"
"","Arthrobotrys oligospora str. TWF225","Orbiliales","2813651","ASM1106679v1","GCA_011066795.1","-","-","-","","-","-"
"","Arthrobotrys oligospora str. TWF569","Orbiliales","2813651","ASM1106656v1","GCA_011066565.1","-","-","-","","-","-"
"","Arthrobotrys oligospora str. TWF594","Orbiliales","2813651","ASM1106669v1","GCA_011066695.1","-","-","-","","-","-"
