"","Name","Classification","Taxon ID","Assembly","Accession","Variation database","Regulation database","Whole genome alignments","Other alignments","In peptide compara","In pan-taxonomic compara"
"","Acanthaster planci (Crown-of-thorns starfish) - GCA_001949145.1","Echinodermata","133434","OKI_Apl_1.0","GCA_001949145.1","-","-","-","","","-"
"","Acromyrmex echinatior (Panamanian leaf-cutter ant) - GCA_000204515.1","Hymenoptera","103372","Aech_3.9","GCA_000204515.1","-","-","-","","-","-"
"","Acropora millepora (Stony coral, JS-1) - GCA_013753865.1","Cnidaria","45264","Amil_v2.1","GCA_013753865.1","-","-","-","","","-"
"","Actinia equina (AE1) - GCA_011057435.1","Cnidaria","6106","equina_smartden.arrow4.noredun","GCA_011057435.1","-","-","-","","","-"
"","Actinia tenebrosa (Australian red waratah sea anemone) - GCA_009602425.1","Cnidaria","6105","GCA009602425v1","GCA_009602425.1","-","-","-","","","-"
"","Acyrthosiphon pisum (AL4f)","Hemiptera","7029","pea_aphid_22Mar2018_4r6ur","GCA_005508785.1","-","-","-","","","-"
"","Adineta vaga","Rotifera","104782","AMS_PRJEB1171_v1","GCA_000513175.1","-","-","-","","","-"
"","Aedes aegypti (LVP_AGWG)","Diptera","7159","AaegL5","GCA_002204515.1","","-","","","",""
"","Aedes albopictus","Diptera","7160","AaloF1","GCA_001444175.1","-","-","","","","-"
"","Agrilus planipennis (Emerald ash borer, EAB-ADULT) - GCA_000699045.2","Coleoptera","224129","Apla_2.0","GCA_000699045.2","-","-","-","","","-"
"","Amphibalanus amphitrite (Acorn barnacle, SeventyFive) - GCA_019059575.1","Crustacea","1232801","NRLGWU_Aamphi_draft","GCA_019059575.1","-","-","-","","","-"
"","Amphimedon queenslandica","Porifera","400682","Aqu1","GCA_000090795.1","-","-","-","","",""
"","Anneissia japonica (Sea lily, Jap-2015-1) - GCA_011630105.1","Echinodermata","1529436","GCA011630105v1","GCA_011630105.1","-","-","-","","","-"
"","Anopheles albimanus","Diptera","7167","AalbS2","GCA_000349125.2","-","-","","","","-"
"","Anopheles arabiensis","Diptera","7173","AaraD1","GCA_000349185.1","","-","","","","-"
"","Anopheles atroparvus (EBRE) - GCA_914969975.1","Diptera","41427","atroparvus_hifiasm_n225_277Mb","GCA_914969975.1","-","-","-","","","-"
"","Anopheles christyi","Diptera","43041","AchrA1","GCA_000349165.1","-","-","","","","-"
"","Anopheles coluzzii","Diptera","1518534","AcolM1","GCA_000150765.1","-","-","","","","-"
"","Anopheles coluzzii (Ngousso)","Diptera","1518534","AcolN1","GCA_004136515.2","-","-","-","","","-"
"","Anopheles culicifacies","Diptera","139723","AculA1","GCA_000473375.1","","-","","","","-"
"","Anopheles darlingi","Diptera","43151","AdarC3","GCA_000211455.3","-","-","","","","-"
"","Anopheles dirus","Diptera","7168","AdirW1","GCA_000349145.1","-","-","","","","-"
"","Anopheles epiroticus","Diptera","199890","AepiE1","GCA_000349105.1","","-","","","","-"
"","Anopheles farauti","Diptera","69004","AfarF2","GCA_000473445.2","","-","","","","-"
"","Anopheles funestus","Diptera","62324","AfunF3","GCA_003951495.1","","-","","","","-"
"","Anopheles gambiae","Diptera","7165","AgamP4","GCA_000005575.1","","-","","","",""
"","Anopheles maculatus","Diptera","74869","AmacM1","GCA_000473185.1","-","-","","","","-"
"","Anopheles melas","Diptera","34690","AmelC2","GCA_000473525.2","","-","","","","-"
"","Anopheles merus","Diptera","30066","AmerM2","GCA_000473845.2","","-","","","","-"
"","Anopheles minimus","Diptera","112268","AminM1","GCA_000349025.1","","-","","","","-"
"","Anopheles quadriannulatus","Diptera","34691","AquaS1","GCA_000349065.1","","-","","","","-"
"","Anopheles sinensis","Diptera","74873","AsinS2","GCA_000472065.2","","-","","","","-"
"","Anopheles sinensis (China)","Diptera","74873","AsinC2","GCA_000441895.2","-","-","","","","-"
"","Anopheles stephensi","Diptera","30069","AsteS1","GCA_000349045.1","","-","","","","-"
"","Anopheles stephensi (Indian)","Diptera","30069","AsteI2","GCA_000300775.2","","-","","","","-"
"","Anoplophora glabripennis (ALB-LARVAE)","Coleoptera","217634","Agla_2.0","GCA_000390285.2","-","-","-","","","-"
"","Aphidius gifuensis (Parasitoid wasp, YNYX2018) - GCA_014905175.1","Hymenoptera","684658","GCA014905175v1","GCA_014905175.1","-","-","-","","","-"
"","Apis dorsata (Giant honeybee) - GCA_000469605.1","Hymenoptera","7462","Apis_dorsata_1.3","GCA_000469605.1","-","-","-","","-","-"
"","Apis florea (Dwarf honeybee) - GCA_000184785.2","Hymenoptera","7463","Aflo_1.0","GCA_000184785.2","-","-","-","","-","-"
"","Apis mellifera (DH4)","Hymenoptera","7460","Amel_HAv3.1","GCA_003254395.2","-","-","","","",""
"","Aplysia californica (California sea hare, F4 #8) - GCA_000002075.2","Mollusca","6500","AplCal3.0","GCA_000002075.2","-","-","-","","","-"
"","Ascaris suum (PRJNA62057)","Nematoda","6253","ASM18702v3","GCA_000187025.3","-","-","-","","","-"
"","Asterias rubens (European starfish) - GCA_902459465.3","Echinodermata","7604","eAstRub1.3","GCA_902459465.3","-","-","-","","","-"
"","Athalia rosae (Coleseed sawfly, CS-ADULT) - GCA_000344095.2","Hymenoptera","37344","Aros_2.0","GCA_000344095.2","-","-","-","","-","-"
"","Atta cephalotes","Hymenoptera","12957","Attacep1.0","GCA_000143395.2","-","-","","","","-"
"","Bactrocera dorsalis (Oriental fruit fly, Punador) - GCA_000789215.2","Diptera","27457","GCA000789215v2","GCA_000789215.2","-","-","-","","","-"
"","Bactrocera latifrons (Solanum fruit fly, USDA-ARS-PBARC rearing strain) - GCA_001853355.1","Diptera","174628","GCA001853355v1","GCA_001853355.1","-","-","-","","-","-"
"","Bactrocera tryoni (Queensland fruitfly, S06) - GCA_016617805.2","Diptera","59916","CSIRO_BtryS06_freeze1","GCA_016617805.2","-","-","-","","","-"
"","Belgica antarctica","Diptera","315563","ASM77530v1","GCA_000775305.1","-","-","-","","","-"
"","Bemisia tabaci (ASIAII-5)","Hemiptera","7038","ASIAII5_n227_616Mb","GCA_903994105.1","-","-","-","","-","-"
"","Bemisia tabaci (SSA1-SG1 NG)","Hemiptera","7038","SSA1SG1_Nigeria_n4493_656Mb","GCA_902825425.1","-","-","-","","-","-"
"","Bemisia tabaci (SSA1-SG1 UG)","Hemiptera","7038","SSA1_SG1_Uganda_n955_657Mb","GCA_902825415.1","-","-","-","","-","-"
"","Bemisia tabaci (SSA2 NG)","Hemiptera","7038","SSA2_Nigeria_n785_625mb","GCA_903994125.1","-","-","-","","-","-"
"","Bemisia tabaci (SSA3 NG)","Hemiptera","7038","SSA3_Nigeria_2278n_648mb","GCA_903994115.1","-","-","-","","-","-"
"","Bemisia tabaci (Uganda 1)","Hemiptera","7038","Uganda1_n5713_630Mb","GCA_903994095.1","-","-","-","","-","-"
"","Biomphalaria glabrata","Mollusca","6526","BglaB1","GCA_000457365.1","","-","-","","","-"
"","Bombus impatiens","Hymenoptera","132113","BIMP_2.2","GCA_000188095.4","-","-","","","","-"
"","Bombus terrestris","Hymenoptera","30195","Bter_1.0","GCA_000214255.1","-","-","","","","-"
"","Bombyx mandarina (Wild silkworm, Bman2017) - GCA_003987935.1","Lepidoptera","7092","GCA003987935v1","GCA_003987935.1","-","-","-","","-","-"
"","Bombyx mori (p50T)","Lepidoptera","7091","Bmori_2016v1.0","GCA_014905235.2","-","-","-","","","-"
"","Branchiostoma lanceolatum","Metazoa","7740","BraLan2","GCA_900088365.1","-","-","-","-","","-"
"","Brugia malayi (PRJNA10729)","Nematoda","6279","Bmal-4.0","GCA_000002995.5","-","-","-","","",""
"","Caenorhabditis brenneri (PRJNA20035)","Nematoda","135651","C_brenneri-6.0.1b","GCA_000143925.2","-","-","-","","","-"
"","Caenorhabditis briggsae (PRJNA10731)","Nematoda","6238","CB4","GCA_000004555.3","-","-","-","","","-"
"","Caenorhabditis elegans (PRJNA13758)","Nematoda","6239","WBcel235","GCA_000002985.3","-","-","-","","",""
"","Caenorhabditis japonica (PRJNA12591)","Nematoda","281687","C_japonica-7.0.1","GCA_000147155.1","-","-","-","","","-"
"","Caenorhabditis remanei (PRJNA53967)","Nematoda","31234","C_remanei-15.0.1","GCA_000149515.1","-","-","-","","","-"
"","Camponotus floridanus (Florida carpenter ant, SB8) - GCA_003227725.1","Hymenoptera","104421","Cflo_v7.5","GCA_003227725.1","-","-","-","","-","-"
"","Capitella teleta","Annelida","283909","Capitella_teleta_v1.0","GCA_000328365.1","-","-","-","","","-"
"","Centruroides sculpturatus (CEXI.00-Female) - GCA_000671375.2","Chelicerata","218467","Cexi_2.0","GCA_000671375.2","-","-","-","","","-"
"","Ceratitis capitata (Mediterranean fruit fly) - GCA_000347755.4","Diptera","7213","Ccap_2.0","GCA_000347755.4","-","-","-","","","-"
"","Cimex lectularius (Harlan)","Hemiptera","79782","Clec_2.0","GCA_000648675.3","-","-","-","","","-"
"","Clytia hemisphaerica (Z4C2)","Cnidaria","252671","GCA902728285v1","GCA_902728285.1","-","-","-","","","-"
"","Copidosoma floridanum (CFLO.00-Male) - GCA_000648655.2","Hymenoptera","29053","Cflo_2.0","GCA_000648655.2","-","-","-","","","-"
"","Cotesia glomerata (CgM1) - GCA_020080835.1","Hymenoptera","32391","MPM_Cglom_v2.3","GCA_020080835.1","-","-","-","","","-"
"","Crassostrea gigas (Pacific oyster) - GCA_902806645.1","Mollusca","29159","GCA902806645v1","GCA_902806645.1","-","-","-","","","-"
"","Crassostrea virginica (RU13XGHG1-28) - GCA_002022765.4","Mollusca","6565","C_virginica_3.0","GCA_002022765.4","-","-","-","","","-"
"","Culex quinquefasciatus","Diptera","7176","CpipJ2","GCA_000209185.1","","-","","","","-"
"","Culex quinquefasciatus (JHB)","Diptera","7176","VPISU_Cqui_1.0_pri_paternal","GCA_015732765.1","-","-","-","","","-"
"","Culicoides sonorensis","Diptera","179676","Cson1","-","-","-","-","-","","-"
"","Danaus plexippus plexippus (F-2)","Lepidoptera","278856","Dplex_v4","GCA_009731565.1","-","-","-","","","-"
"","Daphnia magna (Fresh water planktonic, NIES) - GCA_020631705.2","Crustacea","35525","GCA020631705v2","GCA_020631705.2","-","-","-","","","-"
"","Daphnia pulex","Crustacea","6669","V1.0","GCA_000187875.1","-","-","-","","",""
"","Daphnia pulex (Common water flea, KAP4) - GCA_021134715.1","Crustacea","6669","GCA021134715v1","GCA_021134715.1","-","-","-","","-","-"
"","Daphnia pulicaria (Water flea, SC F1-1A) - GCA_021234035.2","Crustacea","35523","SC_F0_13B","GCA_021234035.2","-","-","-","","-","-"
"","Dendroctonus ponderosae (Mountain pine beetle) - GCA_000355655.1","Coleoptera","77166","DendPond_male_gca000355655v1.0","GCA_000355655.1","-","-","-","","","-"
"","Dendronephthya gigantea (DGI-Jeju-01) - GCA_004324835.1","Cnidaria","151771","DenGig_1.0","GCA_004324835.1","-","-","-","","-","-"
