"","Name","Classification","Taxon ID","Assembly","Accession","Variation database","Regulation database","Whole genome alignments","Other alignments","In peptide compara","In pan-taxonomic compara"
"","Actinidia chinensis","eudicotyledons","1590841","Red5_PS1_1.69.0","GCA_003024255.1","-","-","","-","","-"
"","Aegilops tauschii","Liliopsida","200361","Aet_v4.0","GCA_002575655.1","-","","","","","-"
"","Amborella trichopoda","Amborellales","13333","AMTR1.0","GCA_000471905.1","-","-","","","",""
"","Ananas comosus","Liliopsida","4615","F153","GCA_902162155.1","-","-","","-","","-"
"","Arabidopsis halleri","eudicotyledons","63677","Ahal2.2","GCA_900078215.1","-","","","","","-"
"","Arabidopsis lyrata","eudicotyledons","81972","v.1.0","GCA_000004255.1","-","-","","","","-"
"","Arabidopsis thaliana","eudicotyledons","3702","TAIR10","GCA_000001735.1","","","","","",""
"","Arabis alpina","eudicotyledons","50452","A_alpina_V4","GCA_000733195.1","-","-","","-","","-"
"","Asparagus officinalis","Liliopsida","4686","Aspof.V1","GCA_001876935.1","-","-","","-","","-"
"","Avena sativa OT3098","Liliopsida","4498","Oat_OT3098_v2","GCA_022788535.1","-","-","","-","","-"
"","Avena sativa Sang","Liliopsida","4498","Asativa_sang.v1.1","GCA_910574605.1","-","-","","-","","-"
"","Beta vulgaris","eudicotyledons","3555","RefBeet-1.2.2","GCA_000511025.2","-","-","","","","-"
"","Brachypodium distachyon","Liliopsida","15368","Brachypodium_distachyon_v3.0","GCA_000005505.4","","-","","","",""
"","Brassica juncea","eudicotyledons","3707","ASM1870372v1","GCA_018703725.1","-","-","","-","","-"
"","Brassica napus","eudicotyledons","3708","AST_PRJEB5043_v1","GCA_000751015.1","-","","","","","-"
"","Brassica oleracea","eudicotyledons","109376","BOL","GCA_000695525.1","-","","","","","-"
"","Brassica rapa","eudicotyledons","3711","Brapa_1.0","GCA_000309985.1","-","","-","","-","-"
"","Brassica rapa R-o-18","eudicotyledons","1813537","SCU_BraROA_2.3","GCA_017639395.1","-","-","","-","","-"
"","Cajanus cajan (pigeon pea) - GCA_000340665.1","eudicotyledons","3821","C.cajan_V1.0","GCA_000340665.1","-","-","","-","","-"
"","Camelina sativa","eudicotyledons","90675","Cs","GCA_000633955.1","-","-","","-","","-"
"","Cannabis sativa female","eudicotyledons","3483","cs10","GCA_900626175.1","-","-","","-","","-"
"","Capsicum annuum","eudicotyledons","4072","ASM51225v2","GCA_000512255.2","-","-","","-","","-"
"","Chara braunii","Streptophyta","69332","Cbr_1.0","GCA_003427395.1","-","-","-","-","","-"
"","Chenopodium quinoa","eudicotyledons","63459","ASM168347v1","GCA_001683475.1","-","-","","-","","-"
"","Chlamydomonas reinhardtii","Chlorophyta","3055","Chlamydomonas_reinhardtii_v5.5","GCA_000002595.3","-","-","","","",""
"","Chondrus crispus","Rhodophyta","2769","ASM35022v2","GCA_000350225.2","-","-","","-","","-"
"","Citrullus lanatus","eudicotyledons","3654","Cla97_v1","GCA_000238415.2","-","-","","-","","-"
"","Citrus clementina","eudicotyledons","85681","Citrus_clementina_v1.0","GCA_000493195.1","-","-","","-","","-"
"","Coffea canephora","eudicotyledons","49390","AUK_PRJEB4211_v1","GCA_900059795.1","-","-","","-","","-"
"","Corchorus capsularis","eudicotyledons","210143","CCACVL1_1.0","GCA_001974805.1","-","-","","","","-"
"","Corylus avellana","eudicotyledons","13451","CavTom2PMs-1.0","GCA_901000735.2","-","-","","-","","-"
"","Corymbia citriodora","eudicotyledons","360336","Ccitriodora_v2_1","GCA_014858505.1","-","-","","-","","-"
"","Cucumis melo","eudicotyledons","3656","Melonv4","GCA_902497455.1","-","-","","-","","-"
"","Cucumis sativus","eudicotyledons","3659","ASM407v2","GCA_000004075.2","","-","","","","-"
"","Cyanidioschyzon merolae","Rhodophyta","280699","ASM9120v1","GCA_000091205.1","-","-","","-","",""
"","Cynara cardunculus","eudicotyledons","59895","CcrdV1","GCA_001531365.1","-","-","","-","","-"
"","Daucus carota","eudicotyledons","79200","ASM162521v1","GCA_001625215.1","-","-","","","","-"
"","Digitaria exilis","Liliopsida","1010633","Fonio_CM05836","GCA_902859565.1","-","-","","-","","-"
"","Dioscorea rotundata","Liliopsida","55577","TDr96_F1_v2_PseudoChromosome","GCA_009730915.1","-","-","","-","","-"
"","Echinochloa crus-galli","Liliopsida","90397","ec_v3","GCA_020466025.1","-","-","","-","","-"
"","Eragrostis curvula","Liliopsida","38414","CERZOS_E.curvula1.0","GCA_007726485.1","-","-","","-","","-"
"","Eragrostis tef","Liliopsida","110835","Salk_teff_dabbi_3.0","GCA_024500355.1","-","-","","-","","-"
"","Eucalyptus grandis","eudicotyledons","71139","Egrandis1_0","GCA_000612305.1","-","-","","-","","-"
"","Eutrema salsugineum","eudicotyledons","72664","Eutsalg1_0","GCA_000478725.1","-","-","","","","-"
"","Ficus carica","eudicotyledons","3494","UNIPI_FiCari_1.0","GCA_009761775.1","-","-","","-","","-"
"","Fraxinus excelsior","eudicotyledons","38873","BATG-0.5","GCA_900149125.1","-","-","","-","","-"
"","Galdieria sulphuraria","Rhodophyta","130081","ASM34128v1","GCA_000341285.1","-","-","","-","","-"
"","Glycine max","eudicotyledons","3847","Glycine_max_v2.1","GCA_000004515.4","-","","","","","-"
"","Gossypium raimondii","eudicotyledons","29730","Graimondii2_0_v6","GCA_000327365.1","-","-","","","","-"
"","Helianthus annuus","eudicotyledons","4232","HanXRQr2.0-SUNRISE","GCA_002127325.2","","-","","-","","-"
"","Hordeum vulgare","Liliopsida","112509","MorexV3_pseudomolecules_assembly","GCA_904849725.1","","","","","","-"
"","Hordeum vulgare GoldenPromise","Liliopsida","112509","GPv1","GCA_902500625.1","-","-","-","-","-","-"
"","Hordeum vulgare TRITEX","Liliopsida","112509","Morex_V2_scaf","GCA_903813605.1","-","-","-","-","-","-"
"","Ipomoea triloba","eudicotyledons","35885","ASM357664v1","GCA_003576645.1","-","-","","-","","-"
"","Juglans regia","eudicotyledons","51240","Walnut_2.0","GCA_001411555.2","-","-","","-","","-"
"","Kalanchoe fedtschenkoi","eudicotyledons","63787","K_fedtschenkoi_M2_v1","GCA_002312845.1","-","-","","-","","-"
"","Lactuca sativa","eudicotyledons","4236","Lsat_Salinas_v7","GCA_002870075.2","","-","","-","","-"
"","Leersia perrieri","Liliopsida","77586","Lperr_V1.4","GCA_000325765.3","-","-","","","","-"
"","Lolium perenne","Liliopsida","4522","MPB_Lper_Kyuss_1697","GCA_019359855.1","-","-","","-","","-"
"","Lupinus angustifolius","eudicotyledons","3871","LupAngTanjil_v1.0","GCA_001865875.1","-","-","","","","-"
"","Malus domestica Golden","eudicotyledons","3750","ASM211411v1","GCA_002114115.1","","-","","-","","-"
"","Manihot esculenta","eudicotyledons","3983","Manihot_esculenta_v6","GCA_001659605.1","-","-","","","","-"
"","Marchantia polymorpha","Embryophyta","3197","Marchanta_polymorpha_v1","GCA_003032435.1","-","-","","-","",""
"","Medicago truncatula","eudicotyledons","3880","MedtrA17_4.0","GCA_000219495.2","-","","","","","-"
"","Musa acuminata","Liliopsida","214687","Musa_acuminata_v2","GCA_904845865.1","-","-","","","","-"
"","Nicotiana attenuata","eudicotyledons","49451","NIATTr2","GCA_001879085.1","-","","","","","-"
"","Nymphaea colorata","Embryophyta","210225","ASM883128v1","GCA_008831285.1","-","-","","-","","-"
"","Olea europaea","eudicotyledons","158383","OLEA9","GCA_902713445.1","-","-","","-","","-"
"","Olea europaea var. sylvestris","eudicotyledons","158386","O_europaea_v1","GCA_002742605.1","-","-","-","-","-","-"
"","Oryza barthii","Liliopsida","65489","O.barthii_v1","GCA_000182155.2","-","","","","","-"
"","Oryza brachyantha","Liliopsida","4533","Oryza_brachyantha.v1.4b","GCA_000231095.2","-","-","","","","-"
"","Oryza glaberrima","Liliopsida","4538","Oryza_glaberrima_V1","GCA_000147395.1","","","","","","-"
"","Oryza glumipatula","Liliopsida","40148","Oryza_glumaepatula_v1.5","GCA_000576495.1","","","","","","-"
"","Oryza longistaminata","Liliopsida","4528","O_longistaminata_v1.0","GCA_000789195.1","-","","","","","-"
"","Oryza meridionalis","Liliopsida","40149","Oryza_meridionalis_v1.3","GCA_000338895.2","-","","","","","-"
"","Oryza nivara","Liliopsida","4536","Oryza_nivara_v1.0","GCA_000576065.1","-","","","","","-"
"","Oryza punctata","Liliopsida","4537","Oryza_punctata_v1.2","GCA_000573905.1","-","","","","","-"
"","Oryza rufipogon","Liliopsida","4529","OR_W1943","GCA_000817225.1","-","","","","","-"
"","Oryza sativa (Geng/Japonica-sbtrp var. Chao Meo)","Liliopsida","1736656","Os132278RS1","GCA_009831315.1","-","-","-","-","-","-"
"","Oryza sativa (Geng/Japonica-trop1 var. Azucena)","Liliopsida","1736656","AzucenaRS1","GCA_009830595.1","-","-","-","-","-","-"
"","Oryza sativa (Geng/Japonica-trop2 var. Ketan Nangka)","Liliopsida","1736656","Os128077RS1","GCA_009831275.1","-","-","-","-","-","-"
"","Oryza sativa (Xian/Indica-1A var. Zhenshan 97)","Liliopsida","39946","ZS97RS3","GCA_001618795.1","-","-","-","-","-","-"
"","Oryza sativa (Xian/Indica-1B1 var. IR64)","Liliopsida","39946","OsIR64RS1","GCA_009914875.1","-","-","-","-","-","-"
"","Oryza sativa (Xian/Indica-1B2 var. PR106)","Liliopsida","39946","Os127742RS1","GCA_009831045.1","-","-","-","-","-","-"
"","Oryza sativa (Xian/Indica-2A var. Gobol Sail)","Liliopsida","39946","Os132424RS1","GCA_009831025.1","-","-","-","-","-","-"
"","Oryza sativa (Xian/Indica-2B var. Larha Mugad)","Liliopsida","39946","Os125619RS1","GCA_009831355.1","-","-","-","-","-","-"
"","Oryza sativa (Xian/Indica-3A var. Lima)","Liliopsida","39946","Os127564RS1","GCA_009829395.1","-","-","-","-","-","-"
"","Oryza sativa (Xian/Indica-3B1 var. Khao Yai Guang)","Liliopsida","39946","Os127518RS1","GCA_009831295.1","-","-","-","-","-","-"
"","Oryza sativa (Xian/Indica-3B2 var. Liu Xu)","Liliopsida","39946","Os125827RS1","GCA_009829375.1","-","-","-","-","-","-"
"","Oryza sativa (Xian/Indica-adm var. Minghui 63)","Liliopsida","39946","MH63RS2","GCA_001618785.1","-","-","-","-","-","-"
"","Oryza sativa (circum-Aus1 var. N22)","Liliopsida","1736659","OsN22RS2","GCA_001952365.2","-","-","-","-","-","-"
