"","Name","Classification","Taxon ID","Assembly","Accession","Variation database","Regulation database","Whole genome alignments","Other alignments","In peptide compara","In pan-taxonomic compara"
"","Acanthamoeba castellanii str. Neff (GCA_000313135.1)","Amoebozoa","1257118","Acastellanii.strNEFF_v1","GCA_000313135.1","-","-","-","-","","-"
"","Achlya hypogyna str. ATCC 48635 (GCA_002081595.1)","Stramenopiles","1202772","ACH_lane_v1","GCA_002081595.1","-","-","-","-","","-"
"","Albugo laibachii","Stramenopiles","890382","ENA1","-","-","-","","","","-"
"","Angomonas deanei (GCA_000442575.2)","Eukaryota","59799","Angomonas_deanei_Genome","GCA_000442575.2","-","-","-","-","","-"
"","Aphanomyces astaci (GCA_002197585.2)","Stramenopiles","112090","ASM219758v2","GCA_002197585.2","-","-","-","-","-","-"
"","Aphanomyces astaci (GCA_003546545.1)","Stramenopiles","112090","astaci_Si","GCA_003546545.1","-","-","-","-","-","-"
"","Aphanomyces astaci (GCA_003546565.1)","Stramenopiles","112090","astaci_KV","GCA_003546565.1","-","-","-","-","-","-"
"","Aphanomyces astaci (GCA_003546585.1)","Stramenopiles","112090","astaci_D2","GCA_003546585.1","-","-","-","-","-","-"
"","Aphanomyces astaci (GCA_003546605.1)","Stramenopiles","112090","astaci_YX","GCA_003546605.1","-","-","-","-","-","-"
"","Aphanomyces astaci (GCA_003546625.1)","Stramenopiles","112090","astaci_SA","GCA_003546625.1","-","-","-","-","-","-"
"","Aphanomyces astaci (GCA_003546765.1)","Stramenopiles","112090","astaci_SV","GCA_003546765.1","-","-","-","-","-","-"
"","Aphanomyces astaci (GCA_003546785.1)","Stramenopiles","112090","astaci_457","GCA_003546785.1","-","-","-","-","-","-"
"","Aphanomyces astaci (GCA_003546805.1)","Stramenopiles","112090","astaci_197901","GCA_003546805.1","-","-","-","-","-","-"
"","Aphanomyces astaci (GCA_003546825.1)","Stramenopiles","112090","Da","GCA_003546825.1","-","-","-","-","-","-"
"","Aphanomyces astaci (GCA_003666305.1)","Stramenopiles","112090","astaci_KB13","GCA_003666305.1","-","-","-","-","-","-"
"","Aphanomyces astaci str. APO3 (GCA_000520075.1)","Stramenopiles","112090","Apha_asta_APO3_V1","GCA_000520075.1","-","-","-","-","","-"
"","Aphanomyces invadans (GCA_003546525.1)","Stramenopiles","157072","inv_NJM0002","GCA_003546525.1","-","-","-","-","-","-"
"","Aphanomyces invadans str. NJM9701 (GCA_000520115.1)","Stramenopiles","157072","Apha_inva_NJM9701_V1","GCA_000520115.1","-","-","-","-","","-"
"","Aureococcus anophagefferens (GCA_000186865.1)","Stramenopiles","44056","v_1.0","GCA_000186865.1","-","-","-","-","","-"
"","Babesia bigemina str. Bond (GCA_000981445.1)","Alveolata","5866","Bbig001","GCA_000981445.1","-","-","-","-","","-"
"","Babesia bovis str. T2Bo (GCA_000165395.1)","Alveolata","5865","ASM16539v1","GCA_000165395.1","-","-","-","-","","-"
"","Babesia ovata str. Miyake (GCA_002897235.1)","Alveolata","189622","Bovata_7.1","GCA_002897235.1","-","-","-","-","","-"
"","Babesia sp. Xinjiang (GCA_002095265.1)","Alveolata","462227","B_xinjiang1.0","GCA_002095265.1","-","-","-","-","","-"
